"id","age_months","age_years","age_years_cont","age_zscored","stim_set","highest_count","knower_level","knower_level_cp_subset","trial","magnitude","set_chosen","count","correction_after_prompt","final_count","set_asked","n_bunnies","n_lions","trial_ratio","correct_set_chosen","target_count","correct_count","correct_set_chosen_or_correct_count","correct_count_when_correct_set_chosen","count_error","correct_count_approx"
"96ba9a6d-ca58-4e3b-8d90-8e9e49ec4666",52,4,4.40547945205479,0.297076915611244,6,12,"CP","CP",5,"small","lion",2,NA,2,"lion",3,2,"2-3",1,2,1,1,1,0,1
"96ba9a6d-ca58-4e3b-8d90-8e9e49ec4666",52,4,4.40547945205479,0.297076915611244,6,12,"CP","CP",6,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"6707a3a8-a4f4-4f06-8cf7-c01578cb505e",38,3,3.1972602739726,-1.07261382965335,5,10,"5","subset",1,"small",NA,3,NA,3,"lion",3,1,"1-3",0,1,0,0,0,2,0
"6707a3a8-a4f4-4f06-8cf7-c01578cb505e",38,3,3.1972602739726,-1.07261382965335,5,10,"5","subset",2,"small","lion",1,NA,1,"lion",2,1,"1-2",1,1,1,1,1,0,1
"6707a3a8-a4f4-4f06-8cf7-c01578cb505e",38,3,3.1972602739726,-1.07261382965335,5,10,"5","subset",3,"large","bunny",5,NA,5,"bunny",7,6,"6-7",1,7,0,1,0,-2,0
"6707a3a8-a4f4-4f06-8cf7-c01578cb505e",38,3,3.1972602739726,-1.07261382965335,5,10,"5","subset",4,"small","lion",3,NA,3,"lion",2,3,"2-3",1,3,1,1,1,0,1
"6707a3a8-a4f4-4f06-8cf7-c01578cb505e",38,3,3.1972602739726,-1.07261382965335,5,10,"5","subset",5,"large","bunny",4,5,5,"bunny",5,8,"5-8",1,5,1,1,1,0,1
"6707a3a8-a4f4-4f06-8cf7-c01578cb505e",38,3,3.1972602739726,-1.07261382965335,5,10,"5","subset",6,"large","bunny",7,NA,7,"bunny",7,5,"5-7",1,7,1,1,1,0,1
"276fa18a-8247-4f94-acc1-8580b680b1d1",36,3,3.0027397260274,-1.29313093376625,6,4,"2","subset",1,"large","lion",5,NA,5,"lion",8,5,"5-8",1,5,1,1,1,0,1
"276fa18a-8247-4f94-acc1-8580b680b1d1",36,3,3.0027397260274,-1.29313093376625,6,4,"2","subset",2,"small","lion",2,NA,2,"lion",1,2,"1-2",1,2,1,1,1,0,1
