"id","age_months","age_years","age_years_cont","age_zscored","gender","primary_lang","is_bilingual","stim_set","highest_count","knower_level","knower_level_cp_subset"
"b4fcbd53-5ca2-4f83-bea5-a82109c8d9db",60,5,5.05479452054795,1.0331692208895,"M","English","N",6,13,"CP","CP"
"bf4c08ab-3289-483d-9a40-ae40452e82de",48,4,4.06027397260274,-0.0942632973214967,"M","English","N",5,13,"3","subset"
"bf894512-4584-4d8a-a54b-8810d6374945",51,4,4.25479452054795,0.126253806791397,"F","English","N",1,9,"CP","CP"
"c5b18584-061a-4f59-ba7e-58c4ae5fd9b4",60,5,5.03835616438356,1.0145339726546,"M","English","N",6,10,"4","subset"
"c5c0a628-1876-4612-b389-47505f1e5eb7",50,4,4.24109589041096,0.11072443326232,"M","English","N",1,10,"CP","CP"
"c5c94834-7ef6-45ad-a5f7-05864fa9cfb6",63,5,5.28219178082192,1.29095682147218,"M","English","N",3,12,"CP","CP"
"ca1a6f36-13b7-4482-918a-29b02384034c",55,4,4.61095890410959,0.5300175185474,"F","English","N",4,12,"CP","CP"
"cd16cc08-c2fe-4931-ac54-35a75f56f3bd",53,4,4.42739726027397,0.321923913257767,"F","English","N",1,29,"CP","CP"
"cd43aaab-46af-463f-abd4-4d265e6f7b5b",51,4,4.3041095890411,0.182159551496075,"F","English","N",6,12,"2","subset"
"d08f4f08-1365-4274-a802-278e8e6de696",62,5,5.2027397260274,1.20088645500353,"F","English","N",5,12,"CP","CP"
"d33ae3f6-52fb-4c72-b3f9-26770a5a6aea",62,5,5.1972602739726,1.1946747055919,"M","English","N",3,79,"CP","CP"
"db6a0004-9b6e-4c32-8a92-55715700c4e5",51,4,4.32328767123288,0.203900674436782,"M","English","Urdu",5,NA,"3","subset"
"db8aa543-32e3-43c0-bffc-ea77116fe02d",56,4,4.71506849315069,0.648040757368386,"F","English","N",5,9,"3","subset"
"de2f766e-2bd6-4d93-9515-be1415ea6663",60,5,5.06301369863014,1.04248684500694,"F","English","N",5,12,"CP","CP"
"ded76d87-c16e-47d6-83de-adff364a08f1",39,3,3.24931506849315,-1.01360221024286,"F","English","N",1,3,"3","subset"
"df7e2bf8-f458-4ec4-b59a-a357af0cf7c3",58,4,4.85205479452055,0.803334492659156,"F","English","N",5,28,"CP","CP"
"e254df2a-95ca-4a33-b220-a36f76439e5b",28,2,2.37260273972603,-2.00748211610379,"M","English","N",3,NA,"3","subset"
"e8e1e7b7-7d3a-45eb-8b9b-16d45041d623",56,4,4.67945205479452,0.607664386192785,"F","English","N",3,12,"5","subset"
"e9a5e24e-06fa-4179-a57e-ed4c8bff1b48",50,4,4.21643835616438,0.082771560909981,"F","English","N",6,11,"CP","CP"
"eb3cd3dc-452f-4ae1-aa12-b16caa42bd08",37,3,3.11506849315069,-1.16579007082781,"M","English","N",6,10,"2","subset"
"ee8e7532-1223-4289-b60e-38c3c0804f91",62,5,5.2027397260274,1.20088645500353,"F","English","N",4,26,"CP","CP"
"f188d8af-b300-4f77-9163-62ec6bb9f76c",42,3,3.53698630136986,-0.68748536613224,"M","English","N",1,10,"4","subset"
"f32e6bf6-aaf0-4afd-90b6-9e6f58d7e123",42,3,3.50958904109589,-0.718544113190395,"F","English","German",2,10,"3","subset"
"f827db33-236b-4bef-9ebf-0d5bee60795a",53,4,4.47397260273973,0.37472378325663,"F","English","N",2,12,"CP","CP"
"fa41bf98-202b-40dd-8bad-adc724502329",44,3,3.68767123287671,-0.516662257312393,"M","English","N",3,11,"CP","CP"
